sentence;performative;embedding;solution;domain
what contents are in the fridge?;askAll;available/2;available(_, fridge);domestic_robot
List all items that have a limit of 5.;askAll;limit/2;limit(_, 5);domestic_robot
Show me every entry restricted to 5.;askAll;limit/2;limit(_, 5);domestic_robot
Display all objects with a limit of 5.;askAll;limit/2;limit(_, 5);domestic_robot
Which items are capped at 5?;askAll;limit/2;limit(_, 5);domestic_robot
Give me a full list of everything with a limit of 5.;askAll;limit/2;limit(_, 5);domestic_robot
what is the current inventory of all items in stock?;askAll;stock/2;stock(_, _);domestic_robot
list every item and the quantity we have on hand;askAll;stock/2;stock(_, _);domestic_robot
show me a full report of all products and their stock levels;askAll;stock/2;stock(_, _);domestic_robot
provide a complete list of everything in the warehouse along with the counts;askAll;stock/2;stock(_, _);domestic_robot
give me a breakdown of all available stock and how many of each we have;askAll;stock/2;stock(_, _);domestic_robot
Do you have any beer in the fridge?;askOne;available/2;available(beer, fridge);domestic_robot
Is the fridge stocked with beer?;askOne;available/2;available(beer, fridge);domestic_robot
Check if there is beer inside the fridge.;askOne;available/2;available(beer, fridge);domestic_robot
I need to know if the fridge contains beer.;askOne;available/2;available(beer, fridge);domestic_robot
Is beer currently kept in the fridge?;askOne;available/2;available(beer, fridge);domestic_robot
Show me every single limit currently in place;askAll;limit/2;limit(_, _);domestic_robot
List all the established constraints for me;askAll;limit/2;limit(_, _);domestic_robot
I need to see the entire set of limits;askAll;limit/2;limit(_, _);domestic_robot
Give me a report of every limit defined;askAll;limit/2;limit(_, _);domestic_robot
Display all the limits for every item;askAll;limit/2;limit(_, _);domestic_robot
The system shows 8421 as the most recent employee ID;tell;last_employee_id/1;last_employee_id(8421);employer_management
The latest ID assigned to an employee is 9920;tell;last_employee_id/1;last_employee_id(9920);employer_management
Currently, the last employee ID on record is 1205;tell;last_employee_id/1;last_employee_id(1205);employer_management
Employee ID 5543 is the final one in the database;tell;last_employee_id/1;last_employee_id(5543);employer_management
The sequence ends with employee ID 3392;tell;last_employee_id/1;last_employee_id(3392);employer_management
Employee 4521 is in charge of the finance department;tell;manager_of/2;manager_of(4521, finance);employer_management
The finance team reports to the manager with ID 4521;tell;manager_of/2;manager_of(4521, finance);employer_management
ID 4521 holds the management position for finance;tell;manager_of/2;manager_of(4521, finance);employer_management
The person with ID 4521 manages finance;tell;manager_of/2;manager_of(4521, finance);employer_management
Finance is under the supervision of employee 4521;tell;manager_of/2;manager_of(4521, finance);employer_management
Employee 3421 received a 4.5 rating during their review on 10/05/2023;tell;performance_review/5;"performance_review(3421, ""10/05/2023"", _, 4.5, _)";employer_management
On 10/05/2023, the performance evaluation for 3421 resulted in a score of 4.5;tell;performance_review/5;"performance_review(3421, ""10/05/2023"", _, 4.5, _)";employer_management
The rating for staff member 3421 was 4.5 on the 10/05/2023 review;tell;performance_review/5;"performance_review(3421, ""10/05/2023"", _, 4.5, _)";employer_management
Record a 4.5 rating for employee 3421 for the assessment dated 10/05/2023;tell;performance_review/5;"performance_review(3421, ""10/05/2023"", _, 4.5, _)";employer_management
Employee 3421's review session on 10/05/2023 yielded a 4.5 rating;tell;performance_review/5;"performance_review(3421, ""10/05/2023"", _, 4.5, _)";employer_management
Employee 5678 is an expert in python programming;tell;skill_set/3;skill_set(5678, python, expert);employer_management
For staff member 5678, list the python skill as expert;tell;skill_set/3;skill_set(5678, python, expert);employer_management
The proficiency level for python skills for employee 5678 is expert;tell;skill_set/3;skill_set(5678, python, expert);employer_management
Employee 5678 demonstrates expert level python abilities;tell;skill_set/3;skill_set(5678, python, expert);employer_management
Record python as an expert skill for employee 5678;tell;skill_set/3;skill_set(5678, python, expert);employer_management
"List all staff members who possess the ""Data Analysis"" skill at an advanced level";askAll;skill_set/3;skill_set(_, data_analysis, advanced);employer_management
"Who is currently at an advanced level for ""Data Analysis""";askAll;skill_set/3;skill_set(_, data_analysis, advanced);employer_management
"Find me every person with advanced proficiency in ""Data Analysis""";askAll;skill_set/3;skill_set(_, data_analysis, advanced);employer_management
"Show me the employees who are advanced in ""Data Analysis""";askAll;skill_set/3;skill_set(_, data_analysis, advanced);employer_management
"I need a list of all workers with an advanced ""Data Analysis"" skill set";askAll;skill_set/3;skill_set(_, data_analysis, advanced);employer_management
List every training session completed by staff member 7890;askAll;training_attended/3;training_attended(7890, _, _);employer_management
Show me all courses that employee 7890 has finished;askAll;training_attended/3;training_attended(7890, _, _);employer_management
What training did staff ID 7890 participate in;askAll;training_attended/3;training_attended(7890, _, _);employer_management
Find all the training programs attended by user 7890;askAll;training_attended/3;training_attended(7890, _, _);employer_management
Display the full list of trainings taken by employee 7890;askAll;training_attended/3;training_attended(7890, _, _);employer_management
Show me every piece of equipment allocated to the marketing team;askAll;hardware_assigned/4;"hardware_assigned(_, _, ""marketing"", _)";employer_management
What hardware is currently registered to the marketing department;askAll;hardware_assigned/4;"hardware_assigned(_, _, ""marketing"", _)";employer_management
Retrieve a list of all devices linked to marketing;askAll;hardware_assigned/4;"hardware_assigned(_, _, ""marketing"", _)";employer_management
Display all hardware items that are assigned under marketing;askAll;hardware_assigned/4;"hardware_assigned(_, _, ""marketing"", _)";employer_management
Find all hardware units associated with the marketing department;askAll;hardware_assigned/4;"hardware_assigned(_, _, ""marketing"", _)";employer_management
List every leave request that is currently pending;askAll;leave_request/6;leave_request(_, _, _, _, _, pending);employer_management
Find all the entries for leave that are marked as pending;askAll;leave_request/6;leave_request(_, _, _, _, _, pending);employer_management
Display all requests for leave that are awaiting approval;askAll;leave_request/6;leave_request(_, _, _, _, _, pending);employer_management
I need to see all the pending leave requests;askAll;leave_request/6;leave_request(_, _, _, _, _, pending);employer_management
Pull up the full list of leave requests waiting for a decision;askAll;leave_request/6;leave_request(_, _, _, _, _, pending);employer_management
What is the current leave status for employee 1234?;askOne;leave_request/6;leave_request(_, 1234, _, _, _, _);employer_management
Check if employee 1234 has any leave requests filed.;askOne;leave_request/6;leave_request(_, 1234, _, _, _, _);employer_management
Is there a record of leave for staff member 1234?;askOne;leave_request/6;leave_request(_, 1234, _, _, _, _);employer_management
Find the leave details for employee 1234.;askOne;leave_request/6;leave_request(_, 1234, _, _, _, _);employer_management
Does employee 1234 have an active leave request?;askOne;leave_request/6;leave_request(_, 1234, _, _, _, _);employer_management
Which laptop model is currently linked to user 4567?;askOne;hardware_assigned/4;hardware_assigned(4567, laptop, _, _);employer_management
Show me the device details for the laptop provided to staff member 4567.;askOne;hardware_assigned/4;hardware_assigned(4567, laptop, _, _);employer_management
Did employee 4567 receive a laptop, and what is its ID?;askOne;hardware_assigned/4;hardware_assigned(4567, laptop, _, _);employer_management
Find the laptop assigned to user 4567.;askOne;hardware_assigned/4;hardware_assigned(4567, laptop, _, _);employer_management
I need to know which laptop is registered under the ID 4567.;askOne;hardware_assigned/4;hardware_assigned(4567, laptop, _, _);employer_management
Is there anyone currently working in the sales department?;askOne;employment_info/5;employment_info(_, _, sales, _, _);employer_management
Show me an employee record for the sales team.;askOne;employment_info/5;employment_info(_, _, sales, _, _);employer_management
I need to find a staff member from the sales division.;askOne;employment_info/5;employment_info(_, _, sales, _, _);employer_management
Pull up a representative who is part of the sales department.;askOne;employment_info/5;employment_info(_, _, sales, _, _);employer_management
Who is currently assigned to the sales department?;askOne;employment_info/5;employment_info(_, _, sales, _, _);employer_management
staff member 7 finished the js session on 1/11/2025;tell;training_attended/3;"training_attended(7, js, ""1/11/2025"")";employer_management
the js workshop was completed by employee 7 on 1/11/2025;tell;training_attended/3;"training_attended(7, js, ""1/11/2025"")";employer_management
on 1/11/2025, person 7 wrapped up the js training;tell;training_attended/3;"training_attended(7, js, ""1/11/2025"")";employer_management
id 7 successfully did the js course as of 1/11/2025;tell;training_attended/3;"training_attended(7, js, ""1/11/2025"")";employer_management
the training record for id 7 shows js completion on 1/11/2025;tell;training_attended/3;"training_attended(7, js, ""1/11/2025"")";employer_management
Did worker 6655 finish the mandatory safety training?;askOne;training_attended/3;training_attended(6655, mandatory_safety, _);employer_management
Show me when employee 6655 did the mandatory safety training.;askOne;training_attended/3;training_attended(6655, mandatory_safety, _);employer_management
Has the mandatory safety training been done by staff member 6655?;askOne;training_attended/3;training_attended(6655, mandatory_safety, _);employer_management
Look up the completion date for employee 6655 regarding mandatory safety training.;askOne;training_attended/3;training_attended(6655, mandatory_safety, _);employer_management
Check if 6655 attended the mandatory safety training course.;askOne;training_attended/3;training_attended(6655, mandatory_safety, _);employer_management
Show me all the staff members who have an AWS certification.;askAll;certification_details/4;"certification_details(_, ""AWS"", _, _)";employer_management
List every employee that possesses the AWS credential.;askAll;certification_details/4;"certification_details(_, ""AWS"", _, _)";employer_management
I need a list of all personnel who are AWS certified.;askAll;certification_details/4;"certification_details(_, ""AWS"", _, _)";employer_management
Find all AWS certification holders currently on record.;askAll;certification_details/4;"certification_details(_, ""AWS"", _, _)";employer_management
Who has earned the AWS certification? Give me the full list.;askAll;certification_details/4;"certification_details(_, ""AWS"", _, _)";employer_management
List every skill linked to employee 121;askAll;skill_set/3;skill_set(121, _, _);employer_management
Show me all skill entries for the worker with ID 121;askAll;skill_set/3;skill_set(121, _, _);employer_management
Which skills are currently associated with staff member 121;askAll;skill_set/3;skill_set(121, _, _);employer_management
Give me a full breakdown of the skill set for person 121;askAll;skill_set/3;skill_set(121, _, _);employer_management
Display the entire list of skills for employee number 121;askAll;skill_set/3;skill_set(121, _, _);employer_management
10 and 11 have a friendship;tell;user_friend/2;user_friend(10, 11);games_platform
User 10 is buddies with user 11;tell;user_friend/2;user_friend(10, 11);games_platform
Link 10 and 11 as friends;tell;user_friend/2;user_friend(10, 11);games_platform
User 11 is friends with user 10;tell;user_friend/2;user_friend(11, 10);games_platform
Set 10 and 11 as friends;tell;user_friend/2;user_friend(10, 11);games_platform
The price for Doom has been slashed by 30% through 25/10/2025;tell;game_on_sale/3;"game_on_sale(""Doom"", 30, ""25/10/2025"")";games_platform
You can grab Doom at a 30% discount until 25/10/2025;tell;game_on_sale/3;"game_on_sale(""Doom"", 30, ""25/10/2025"")";games_platform
Doom is currently marked down by 30% until the date 25/10/2025;tell;game_on_sale/3;"game_on_sale(""Doom"", 30, ""25/10/2025"")";games_platform
Until 25/10/2025, Doom is available with a 30% discount;tell;game_on_sale/3;"game_on_sale(""Doom"", 30, ""25/10/2025"")";games_platform
There is a 30% sale on Doom valid until 25/10/2025;tell;game_on_sale/3;"game_on_sale(""Doom"", 30, ""25/10/2025"")";games_platform
user 123 picked up Zelda;tell;in_cart/3;"in_cart(123, ""Zelda"", _)";games_platform
put Zelda into the cart for account 123;tell;in_cart/3;"in_cart(123, ""Zelda"", _)";games_platform
123 just added Zelda to their cart;tell;in_cart/3;"in_cart(123, ""Zelda"", _)";games_platform
the user with ID 123 selected Zelda;tell;in_cart/3;"in_cart(123, ""Zelda"", _)";games_platform
Zelda is now in the cart for user 123;tell;in_cart/3;"in_cart(123, ""Zelda"", _)";games_platform
user 9 has a balance of 23 euros in their wallet;tell;wallet_balance/2;wallet_balance(9, 23);games_platform
set the wallet total for user 14 to 45 euros;tell;wallet_balance/2;wallet_balance(14, 45);games_platform
user 22 holds 10 euros in their digital wallet;tell;wallet_balance/2;wallet_balance(22, 10);games_platform
the balance for user 5 is currently 88 euros;tell;wallet_balance/2;wallet_balance(5, 88);games_platform
record that user 7 has 12 euros in their wallet;tell;wallet_balance/2;wallet_balance(7, 12);games_platform
I gave Fifa22 a rating of 1 on 12/12/2022 and I am user 18;tell;game_review/4;"game_review(""Fifa22"", 18, 1, ""12/12/2022"")";games_platform
On 12/12/2022, user 18 logged a score of 1 for the game Fifa22;tell;game_review/4;"game_review(""Fifa22"", 18, 1, ""12/12/2022"")";games_platform
Fifa22 got a 1 star review from player 18 back on 12/12/2022;tell;game_review/4;"game_review(""Fifa22"", 18, 1, ""12/12/2022"")";games_platform
User 18 posted a review for Fifa22 on 12/12/2022 giving it 1 point;tell;game_review/4;"game_review(""Fifa22"", 18, 1, ""12/12/2022"")";games_platform
The game Fifa22 was rated 1 by user 18 on 12/12/2022;tell;game_review/4;"game_review(""Fifa22"", 18, 1, ""12/12/2022"")";games_platform
Borderlands3 is currently hosting a session with 3 out of 10 players;tell;multiplayer_session/4;"multiplayer_session(""Borderlands3"", _, 3, 10)";games_platform
I found a Borderlands3 lobby running with 3 players and a capacity of 10;tell;multiplayer_session/4;"multiplayer_session(""Borderlands3"", _, 3, 10)";games_platform
A game session for Borderlands3 is active with 3 participants out of 10;tell;multiplayer_session/4;"multiplayer_session(""Borderlands3"", _, 3, 10)";games_platform
Logged a Borderlands3 session featuring 3 active players out of 10 total slots;tell;multiplayer_session/4;"multiplayer_session(""Borderlands3"", _, 3, 10)";games_platform
Borderlands3 has an open session right now containing 3 players and 10 max slots;tell;multiplayer_session/4;"multiplayer_session(""Borderlands3"", _, 3, 10)";games_platform
Log 300 hours of playtime for CSGO under user 22.;tell;user_library/4;"user_library(22, ""CSGO"", _, 300)";games_platform
For user 22, add an entry for CSGO with 300 hours.;tell;user_library/4;"user_library(22, ""CSGO"", _, 300)";games_platform
User 22 spent 300 hours in the game CSGO.;tell;user_library/4;"user_library(22, ""CSGO"", _, 300)";games_platform
Store 300 hours for CSGO in the library of user 22.;tell;user_library/4;"user_library(22, ""CSGO"", _, 300)";games_platform
CSGO has been played for 300 hours by user 22.;tell;user_library/4;"user_library(22, ""CSGO"", _, 300)";games_platform
Player 99 just got the LordOfCinder achievement in DarkSouls3;tell;achievement_unlocked/4;"achievement_unlocked(99, ""DarkSouls3"", ""LordOfCinder"", _)";games_platform
In DarkSouls3, user 99 earned the LordOfCinder trophy;tell;achievement_unlocked/4;"achievement_unlocked(99, ""DarkSouls3"", ""LordOfCinder"", _)";games_platform
The achievement LordOfCinder was claimed by user 99 on DarkSouls3;tell;achievement_unlocked/4;"achievement_unlocked(99, ""DarkSouls3"", ""LordOfCinder"", _)";games_platform
User 99 completed the LordOfCinder challenge within DarkSouls3;tell;achievement_unlocked/4;"achievement_unlocked(99, ""DarkSouls3"", ""LordOfCinder"", _)";games_platform
DarkSouls3 user 99 has successfully unlocked LordOfCinder;tell;achievement_unlocked/4;"achievement_unlocked(99, ""DarkSouls3"", ""LordOfCinder"", _)";games_platform
Pokemon is currently 25% through the download;tell;download_status/3;"download_status(_, ""Pokemon"", 25)";games_platform
the download for Pokemon is sitting at 25%;tell;download_status/3;"download_status(_, ""Pokemon"", 25)";games_platform
Pokemon download progress is exactly 25%;tell;download_status/3;"download_status(_, ""Pokemon"", 25)";games_platform
I see the Pokemon download has hit 25%;tell;download_status/3;"download_status(_, ""Pokemon"", 25)";games_platform
it looks like Pokemon is at 25% downloaded;tell;download_status/3;"download_status(_, ""Pokemon"", 25)";games_platform
List every game registered to user 12.;askAll;game_owned/2;game_owned(12, _);games_platform
Show me the entire library of titles for user 12.;askAll;game_owned/2;game_owned(12, _);games_platform
Which games are currently in the collection of user 12?;askAll;game_owned/2;game_owned(12, _);games_platform
Find all games associated with user ID 12.;askAll;game_owned/2;game_owned(12, _);games_platform
Give me a list of every game owned by user 12.;askAll;game_owned/2;game_owned(12, _);games_platform
List every soulslike title published by Bethesda that costs 30 euros;askAll;game_details/7;"game_details(_, _, ""soulslike"", 30, ""Bethesda"", _, _)";games_platform
Show me all soulslike games from Bethesda priced at 30 euros;askAll;game_details/7;"game_details(_, _, ""soulslike"", 30, ""Bethesda"", _, _)";games_platform
Find all soulslike games by Bethesda costing 30 euros;askAll;game_details/7;"game_details(_, _, ""soulslike"", 30, ""Bethesda"", _, _)";games_platform
Which soulslike games did Bethesda release for 30 euros;askAll;game_details/7;"game_details(_, _, ""soulslike"", 30, ""Bethesda"", _, _)";games_platform
Display the full list of soulslike titles from Bethesda with a price of 30 euros;askAll;game_details/7;"game_details(_, _, ""soulslike"", 30, ""Bethesda"", _, _)";games_platform
Show me every item currently in my shopping cart;askAll;in_cart/3;in_cart(_, _, _);games_platform
List all the games that are saved in my cart;askAll;in_cart/3;in_cart(_, _, _);games_platform
Which titles have I added to my cart so far?;askAll;in_cart/3;in_cart(_, _, _);games_platform
Display all the games sitting in my cart;askAll;in_cart/3;in_cart(_, _, _);games_platform
I want to see everything currently inside my cart;askAll;in_cart/3;in_cart(_, _, _);games_platform
list all of user 5's friends;askAll;user_friend/2;user_friend(5, _);games_platform
tell me the friends of user 5;askAll;user_friend/2;user_friend(5, _);games_platform
which people is user 5 connected to?;askAll;user_friend/2;user_friend(5, _);games_platform
show me every friend of user 5;askAll;user_friend/2;user_friend(5, _);games_platform
find all users who are friends with 5;askAll;user_friend/2;user_friend(5, _);games_platform
list every achievement earned by user 3 for FinalFantasyXIV on 11/7/2021;askAll;achievement_unlocked/4;"achievement_unlocked(3, ""FinalFantasyXIV"", _, ""11/7/2021"")";games_platform
show all awards that player 3 got in FinalFantasyXIV as of 11/7/2021;askAll;achievement_unlocked/4;"achievement_unlocked(3, ""FinalFantasyXIV"", _, ""11/7/2021"")";games_platform
which achievements did user 3 get in FinalFantasyXIV by 11/7/2021;askAll;achievement_unlocked/4;"achievement_unlocked(3, ""FinalFantasyXIV"", _, ""11/7/2021"")";games_platform
display all FinalFantasyXIV achievements unlocked for user 3 on 11/7/2021;askAll;achievement_unlocked/4;"achievement_unlocked(3, ""FinalFantasyXIV"", _, ""11/7/2021"")";games_platform
get all the entries for user 3 in FinalFantasyXIV from 11/7/2021;askAll;achievement_unlocked/4;"achievement_unlocked(3, ""FinalFantasyXIV"", _, ""11/7/2021"")";games_platform
"when was the account for ""UnclePear"" created?";askOne;user_account/3;"user_account(""UnclePear"", _, _)";games_platform
"find the date ""UnclePear"" joined the platform";askOne;user_account/3;"user_account(""UnclePear"", _, _)";games_platform
"what is the signup date for user ""UnclePear""?";askOne;user_account/3;"user_account(""UnclePear"", _, _)";games_platform
"show me the creation date associated with ""UnclePear""";askOne;user_account/3;"user_account(""UnclePear"", _, _)";games_platform
"i need the date that ""UnclePear"" registered";askOne;user_account/3;"user_account(""UnclePear"", _, _)";games_platform
How much money does user 5 have in their wallet?;askOne;wallet_balance/2;wallet_balance(5, _);games_platform
Show me the current balance for account 8.;askOne;wallet_balance/2;wallet_balance(8, _);games_platform
Tell me the total funds held by user 12.;askOne;wallet_balance/2;wallet_balance(12, _);games_platform
What's the balance currently sitting in user 9's account?;askOne;wallet_balance/2;wallet_balance(9, _);games_platform
I need to know the wallet amount for user 3.;askOne;wallet_balance/2;wallet_balance(3, _);games_platform
What is the current progress of the COD download for user 4?;askOne;download_status/3;"download_status(4, ""COD"", _)";games_platform
Tell me how much of the COD download is finished for user 4.;askOne;download_status/3;"download_status(4, ""COD"", _)";games_platform
Show me the completion percentage for user 4's COD download.;askOne;download_status/3;"download_status(4, ""COD"", _)";games_platform
I need to know the status of the COD file download for user 4.;askOne;download_status/3;"download_status(4, ""COD"", _)";games_platform
Is the COD download for user 4 complete, or what is the progress?;askOne;download_status/3;"download_status(4, ""COD"", _)";games_platform
Show me details for post 3;askOne;community_forum_post/5;community_forum_post(3, _, _, _, _);games_platform
I need the data for forum entry 3;askOne;community_forum_post/5;community_forum_post(3, _, _, _, _);games_platform
What is written in post ID 3?;askOne;community_forum_post/5;community_forum_post(3, _, _, _, _);games_platform
Find information for the post numbered 3;askOne;community_forum_post/5;community_forum_post(3, _, _, _, _);games_platform
Retrieve the record for post 3;askOne;community_forum_post/5;community_forum_post(3, _, _, _, _);games_platform
What are the specs for the session with ID 12921?;askOne;multiplayer_session/4;multiplayer_session(_, 12921, _, _);games_platform
Show me the data for session 12921.;askOne;multiplayer_session/4;multiplayer_session(_, 12921, _, _);games_platform
I need the info on multiplayer session 12921.;askOne;multiplayer_session/4;multiplayer_session(_, 12921, _, _);games_platform
Look up session 12921 for me.;askOne;multiplayer_session/4;multiplayer_session(_, 12921, _, _);games_platform
Display the details associated with session 12921.;askOne;multiplayer_session/4;multiplayer_session(_, 12921, _, _);games_platform
When was ForHonor added to the cart by user 3?;askOne;in_cart/3;"in_cart(3, ""ForHonor"", _)";games_platform
Show me the date that user 3 put ForHonor in their cart.;askOne;in_cart/3;"in_cart(3, ""ForHonor"", _)";games_platform
Tell me the timestamp for when user 3 added ForHonor.;askOne;in_cart/3;"in_cart(3, ""ForHonor"", _)";games_platform
Lookup the date ForHonor was placed in the cart by user 3.;askOne;in_cart/3;"in_cart(3, ""ForHonor"", _)";games_platform
I need the date associated with user 3 adding ForHonor to the cart.;askOne;in_cart/3;"in_cart(3, ""ForHonor"", _)";games_platform
is it true that user 4 has DS2 in their library?;askOne;game_owned/2;"game_owned(4, ""DS2"")";games_platform
does the account 4 possess the title DS2?;askOne;game_owned/2;"game_owned(4, ""DS2"")";games_platform
check if user 4 currently owns DS2;askOne;game_owned/2;"game_owned(4, ""DS2"")";games_platform
has user 4 purchased DS2?;askOne;game_owned/2;"game_owned(4, ""DS2"")";games_platform
confirm if DS2 is owned by user 4;askOne;game_owned/2;"game_owned(4, ""DS2"")";games_platform
We spent 4316 euros on Concrete for that final project.;tell;budget_item/3;"budget_item(_, ""Concrete"", euro(4316))";house_builder
Concrete for the most recent project totaled 4316 euros.;tell;budget_item/3;"budget_item(_, ""Concrete"", euro(4316))";house_builder
For the last project, the Concrete expense was 4316 euros.;tell;budget_item/3;"budget_item(_, ""Concrete"", euro(4316))";house_builder
The project finished with a Concrete cost of 4316 euros.;tell;budget_item/3;"budget_item(_, ""Concrete"", euro(4316))";house_builder
4316 euros were allocated to Concrete for the last project.;tell;budget_item/3;"budget_item(_, ""Concrete"", euro(4316))";house_builder
We spent 3116 euros on Labor for the most recent project.;tell;budget_item/3;"budget_item(_, ""Labor"", euro(3116))";house_builder
The final bill for Labor on the last project came to 3116 euros.;tell;budget_item/3;"budget_item(_, ""Labor"", euro(3116))";house_builder
For the latest project, our Labor expense was 3116 euros.;tell;budget_item/3;"budget_item(_, ""Labor"", euro(3116))";house_builder
Labor costs for the last project totaled 3116 euros.;tell;budget_item/3;"budget_item(_, ""Labor"", euro(3116))";house_builder
The last project required an expenditure of 3116 euros for Labor.;tell;budget_item/3;"budget_item(_, ""Labor"", euro(3116))";house_builder
The latest project spent 6477 euros on Labor.;tell;budget_item/3;"budget_item(_, ""Labor"", euro(6477))";house_builder
Labor costs for the final project amounted to 6477 euros.;tell;budget_item/3;"budget_item(_, ""Labor"", euro(6477))";house_builder
We paid 6477 euros for Labor on that last project.;tell;budget_item/3;"budget_item(_, ""Labor"", euro(6477))";house_builder
For the most recent project, Labor came in at 6477 euros.;tell;budget_item/3;"budget_item(_, ""Labor"", euro(6477))";house_builder
Total Labor expenses for the previous project reached 6477 euros.;tell;budget_item/3;"budget_item(_, ""Labor"", euro(6477))";house_builder
The total expenditure for Concrete on the most recent project was 9011 euros.;tell;budget_item/3;"budget_item(_, ""Concrete"", euro(9011))";house_builder
Log 9011 euros as the Concrete expense for the final project.;tell;budget_item/3;"budget_item(_, ""Concrete"", euro(9011))";house_builder
9011 euros was spent on Concrete for the last project.;tell;budget_item/3;"budget_item(_, ""Concrete"", euro(9011))";house_builder
For the final project, the Concrete cost is listed at 9011 euros.;tell;budget_item/3;"budget_item(_, ""Concrete"", euro(9011))";house_builder
Concrete costs for the last project amount to 9011 euros.;tell;budget_item/3;"budget_item(_, ""Concrete"", euro(9011))";house_builder
The final project spent 1867 euros on Labor.;tell;budget_item/3;"budget_item(_, ""Labor"", euro(1867))";house_builder
For the most recent project, Labor cost 1867 euros.;tell;budget_item/3;"budget_item(_, ""Labor"", euro(1867))";house_builder
Labor was billed at 1867 euros for the last project.;tell;budget_item/3;"budget_item(_, ""Labor"", euro(1867))";house_builder
We logged 1867 euros for Labor on the previous project.;tell;budget_item/3;"budget_item(_, ""Labor"", euro(1867))";house_builder
The Labor expense for the latest project came to 1867 euros.;tell;budget_item/3;"budget_item(_, ""Labor"", euro(1867))";house_builder
We sent a note regarding 'Site issue' on 2025-03-26;tell;client_communication/3;"client_communication(_, ""2025-03-26"", ""Site issue"")";house_builder
'Site issue' was the topic of the communication from 2025-03-26;tell;client_communication/3;"client_communication(_, ""2025-03-26"", ""Site issue"")";house_builder
On 2025-03-26, we updated the client on the 'Site issue';tell;client_communication/3;"client_communication(_, ""2025-03-26"", ""Site issue"")";house_builder
The communication on 2025-03-26 addressed the 'Site issue';tell;client_communication/3;"client_communication(_, ""2025-03-26"", ""Site issue"")";house_builder
Regarding the 'Site issue', a message went out on 2025-03-26;tell;client_communication/3;"client_communication(_, ""2025-03-26"", ""Site issue"")";house_builder
We logged a message regarding 'Site issue' on 2025-08-13.;tell;client_communication/3;"client_communication(_, ""2025-08-13"", ""Site issue"")";house_builder
On 2025-08-13, a note was filed concerning 'Site issue'.;tell;client_communication/3;"client_communication(_, ""2025-08-13"", ""Site issue"")";house_builder
'Site issue' was the topic of a client update on 2025-08-13.;tell;client_communication/3;"client_communication(_, ""2025-08-13"", ""Site issue"")";house_builder
Correspondence about 'Site issue' occurred on 2025-08-13.;tell;client_communication/3;"client_communication(_, ""2025-08-13"", ""Site issue"")";house_builder
The system recorded a communication on 2025-08-13 involving 'Site issue'.;tell;client_communication/3;"client_communication(_, ""2025-08-13"", ""Site issue"")";house_builder
"Which employees are currently listed as having the ""builder"" skill?";askAll;employee_skill/2;"employee_skill(_, ""builder"")";house_builder
"List every staff member who possesses the ""builder"" skill.";askAll;employee_skill/2;"employee_skill(_, ""builder"")";house_builder
"Show me a report of all workers who have ""builder"" as a skill.";askAll;employee_skill/2;"employee_skill(_, ""builder"")";house_builder
"Find all personnel that hold the ""builder"" skill level.";askAll;employee_skill/2;"employee_skill(_, ""builder"")";house_builder
"I need a complete list of individuals who are skilled in ""builder"".";askAll;employee_skill/2;"employee_skill(_, ""builder"")";house_builder
"Is ""Welding"" a skill held by employee ""E101""?";askOne;employee_skill/2;"employee_skill(""E101"", ""Welding"")";house_builder
"Check if the employee ""E101"" is proficient in ""Welding"".";askOne;employee_skill/2;"employee_skill(""E101"", ""Welding"")";house_builder
"Does the record for ""E101"" show ""Welding"" as a skill?";askOne;employee_skill/2;"employee_skill(""E101"", ""Welding"")";house_builder
"Verify whether ""E101"" possesses the ""Welding"" skill.";askOne;employee_skill/2;"employee_skill(""E101"", ""Welding"")";house_builder
"Confirm if ""Welding"" is listed as a skill for employee ""E101"".";askOne;employee_skill/2;"employee_skill(""E101"", ""Welding"")";house_builder
"Is ""Welding"" a skill listed for E102?";askOne;employee_skill/2;"employee_skill(""E102"", ""Welding"")";house_builder
"Check if E102 is proficient in ""Welding"".";askOne;employee_skill/2;"employee_skill(""E102"", ""Welding"")";house_builder
"Confirm whether employee E102 possesses the ""Welding"" skill.";askOne;employee_skill/2;"employee_skill(""E102"", ""Welding"")";house_builder
"Does the profile for E102 include ""Welding"" as a skill?";askOne;employee_skill/2;"employee_skill(""E102"", ""Welding"")";house_builder
"Verify if ""Welding"" is among the skills assigned to E102.";askOne;employee_skill/2;"employee_skill(""E102"", ""Welding"")";house_builder
"Is ""Welding"" a skill listed for employee ""E103""?";askOne;employee_skill/2;"employee_skill(""E103"", ""Welding"")";house_builder
"Check if the employee ""E103"" is skilled in ""Welding"".";askOne;employee_skill/2;"employee_skill(""E103"", ""Welding"")";house_builder
"Does the record show ""Welding"" as a skill for ""E103""?";askOne;employee_skill/2;"employee_skill(""E103"", ""Welding"")";house_builder
"Verify the ""Welding"" skill for employee ""E103"".";askOne;employee_skill/2;"employee_skill(""E103"", ""Welding"")";house_builder
"Is ""E103"" qualified in ""Welding""?";askOne;employee_skill/2;"employee_skill(""E103"", ""Welding"")";house_builder
Do we have a bulldozer at project 202?;askOne;equipment_on_site/2;"equipment_on_site(202, ""Bulldozer"")";house_builder
Is there a bulldozer present for project 202?;askOne;equipment_on_site/2;"equipment_on_site(202, ""Bulldozer"")";house_builder
